Episode Id,Sample Method,Labeled Pool,Num of classification,Ratio,Accuracy
1,CS1,40,179,0.01,1.0
1,CS1,40,179,0.02,1.0
1,CS1,40,179,0.03,1.0
1,CS1,40,179,0.04,1.0
1,CS1,40,179,0.05,1.0
1,CS1,40,179,0.060000000000000005,1.0
1,CS1,40,179,0.06999999999999999,1.0
1,CS1,40,179,0.08,1.0
1,CS1,40,179,0.09,1.0
1,CS1,40,179,0.09999999999999999,1.0
1,CS1,40,179,0.11,1.0
1,CS1,40,179,0.12,1.0
1,CS1,40,179,0.13,1.0
1,CS1,40,179,0.14,1.0
1,CS1,40,179,0.15000000000000002,1.0
1,CS1,40,308,0.16,1.0
1,CS1,40,308,0.17,1.0
1,CS1,40,308,0.18000000000000002,1.0
1,CS1,40,308,0.19,1.0
1,CS1,40,308,0.2,1.0
1,CS1,40,308,0.21000000000000002,1.0
1,CS1,40,308,0.22,1.0
1,CS1,40,308,0.23,1.0
1,CS1,40,374,0.24000000000000002,0.9705882352941176
1,CS1,40,374,0.25,0.9705882352941176
1,CS1,40,374,0.26,0.9705882352941176
1,CS1,40,374,0.27,0.9705882352941176
1,CS1,40,374,0.28,0.9705882352941176
1,CS1,40,374,0.29000000000000004,0.9705882352941176
1,CS1,40,374,0.3,0.9705882352941176
1,CS1,40,388,0.31,0.9716494845360825
1,CS1,40,388,0.32,0.9716494845360825
1,CS1,40,388,0.33,0.9716494845360825
1,CS1,40,388,0.34,0.9716494845360825
1,CS1,40,388,0.35000000000000003,0.9716494845360825
1,CS1,40,388,0.36000000000000004,0.9716494845360825
1,CS1,40,388,0.37,0.9716494845360825
1,CS1,40,388,0.38,0.9716494845360825
1,CS1,40,400,0.39,0.9725
1,CS1,40,400,0.4,0.9725
1,CS1,40,400,0.41000000000000003,0.9725
1,CS1,40,400,0.42000000000000004,0.9725
1,CS1,40,400,0.43,0.9725
1,CS1,40,400,0.44,0.9725
1,CS1,40,400,0.45,0.9725
1,CS1,40,400,0.46,0.9725
1,CS1,40,427,0.47000000000000003,0.9742388758782201
1,CS1,40,427,0.48000000000000004,0.9742388758782201
1,CS1,40,427,0.49,0.9742388758782201
1,CS1,40,427,0.5,0.9742388758782201
1,CS1,40,427,0.51,0.9742388758782201
1,CS1,40,427,0.52,0.9742388758782201
1,CS1,40,427,0.53,0.9742388758782201
1,CS1,40,444,0.54,0.9752252252252253
1,CS1,40,444,0.55,0.9752252252252253
1,CS1,40,444,0.56,0.9752252252252253
1,CS1,40,444,0.5700000000000001,0.9752252252252253
1,CS1,40,444,0.5800000000000001,0.9752252252252253
1,CS1,40,444,0.59,0.9752252252252253
1,CS1,40,444,0.6,0.9752252252252253
1,CS1,40,444,0.61,0.9752252252252253
1,CS1,40,458,0.62,0.9759825327510917
1,CS1,40,458,0.63,0.9759825327510917
1,CS1,40,458,0.64,0.9759825327510917
1,CS1,40,458,0.65,0.9759825327510917
1,CS1,40,458,0.66,0.9759825327510917
1,CS1,40,458,0.67,0.9759825327510917
1,CS1,40,458,0.68,0.9759825327510917
1,CS1,40,458,0.6900000000000001,0.9759825327510917
1,CS1,40,471,0.7000000000000001,0.9766454352441614
1,CS1,40,471,0.7100000000000001,0.9766454352441614
1,CS1,40,471,0.72,0.9766454352441614
1,CS1,40,471,0.73,0.9766454352441614
1,CS1,40,471,0.74,0.9766454352441614
1,CS1,40,471,0.75,0.9766454352441614
1,CS1,40,471,0.76,0.9766454352441614
1,CS1,40,476,0.77,0.976890756302521
1,CS1,40,476,0.78,0.976890756302521
1,CS1,40,476,0.79,0.976890756302521
1,CS1,40,476,0.8,0.976890756302521
1,CS1,40,476,0.81,0.976890756302521
1,CS1,40,476,0.8200000000000001,0.976890756302521
1,CS1,40,476,0.8300000000000001,0.976890756302521
1,CS1,40,476,0.8400000000000001,0.976890756302521
1,CS1,40,476,0.85,0.976890756302521
1,CS1,40,476,0.86,0.976890756302521
1,CS1,40,476,0.87,0.976890756302521
1,CS1,40,476,0.88,0.976890756302521
1,CS1,40,476,0.89,0.976890756302521
1,CS1,40,476,0.9,0.976890756302521
1,CS1,40,476,0.91,0.976890756302521
1,CS1,40,476,0.92,0.976890756302521
1,CS1,40,476,0.93,0.976890756302521
1,CS1,40,476,0.9400000000000001,0.976890756302521
1,CS1,40,476,0.9500000000000001,0.976890756302521
1,CS1,40,476,0.9600000000000001,0.976890756302521
1,CS1,40,476,0.97,0.976890756302521
1,CS1,40,476,0.98,0.976890756302521
1,CS1,40,476,0.99,0.976890756302521
2,CS1,80,2230,0.01,1.0
2,CS1,80,2230,0.02,1.0
2,CS1,80,2230,0.03,1.0
2,CS1,80,2230,0.04,1.0
2,CS1,80,2230,0.05,1.0
2,CS1,80,2230,0.060000000000000005,1.0
2,CS1,80,2230,0.06999999999999999,1.0
2,CS1,80,2230,0.08,1.0
2,CS1,80,2230,0.09,1.0
2,CS1,80,2230,0.09999999999999999,1.0
2,CS1,80,2230,0.11,1.0
2,CS1,80,2230,0.12,1.0
2,CS1,80,2230,0.13,1.0
2,CS1,80,2230,0.14,1.0
2,CS1,80,2230,0.15000000000000002,1.0
2,CS1,80,2230,0.16,1.0
2,CS1,80,2990,0.17,1.0
