Episode Id,Sample Method,Labeled Pool,Num of classification,Ratio,Accuracy
0,ae_coreset,1000,738,0.001,0.9878048780487805
0,ae_coreset,1000,738,0.002,0.9878048780487805
0,ae_coreset,1000,738,0.003,0.9878048780487805
0,ae_coreset,1000,1357,0.004,0.9867354458364038
0,ae_coreset,1000,1357,0.005,0.9867354458364038
0,ae_coreset,1000,1900,0.006,0.9842105263157894
0,ae_coreset,1000,1900,0.007,0.9842105263157894
0,ae_coreset,1000,2421,0.008,0.9818256918628666
0,ae_coreset,1000,2421,0.009000000000000001,0.9818256918628666
0,ae_coreset,1000,2915,0.010000000000000002,0.9780445969125214
0,ae_coreset,1000,2915,0.011,0.9780445969125214
0,ae_coreset,1000,3385,0.012,0.9790251107828656
0,ae_coreset,1000,3385,0.013000000000000001,0.9790251107828656
0,ae_coreset,1000,3843,0.014000000000000002,0.9786625032526672
0,ae_coreset,1000,3843,0.015,0.9786625032526672
0,ae_coreset,1000,4279,0.016,0.9803692451507362
0,ae_coreset,1000,4279,0.017,0.9803692451507362
0,ae_coreset,1000,4693,0.018000000000000002,0.9774131685489026
0,ae_coreset,1000,4693,0.019000000000000003,0.9774131685489026
0,ae_coreset,1000,5103,0.02,0.9772682735645699
0,ae_coreset,1000,5103,0.021,0.9772682735645699
0,ae_coreset,1000,5504,0.022000000000000002,0.9783793604651163
0,ae_coreset,1000,5504,0.023,0.9783793604651163
0,ae_coreset,1000,5853,0.024,0.9779600205023065
0,ae_coreset,1000,5853,0.025,0.9779600205023065
0,ae_coreset,1000,6191,0.026000000000000002,0.9757712808916169
0,ae_coreset,1000,6191,0.027000000000000003,0.9757712808916169
0,ae_coreset,1000,6497,0.028,0.9733723256887794
0,ae_coreset,1000,6497,0.029,0.9733723256887794
0,ae_coreset,1000,7071,0.030000000000000002,0.970159807665111
0,ae_coreset,1000,7071,0.031,0.970159807665111
0,ae_coreset,1000,7071,0.032,0.970159807665111
0,ae_coreset,1000,7071,0.033,0.970159807665111
0,ae_coreset,1000,7351,0.034,0.9703441708611074
0,ae_coreset,1000,7351,0.035,0.9703441708611074
0,ae_coreset,1000,7619,0.036000000000000004,0.9694185588659929
0,ae_coreset,1000,7874,0.037000000000000005,0.9676149352298704
0,ae_coreset,1000,7874,0.038,0.9676149352298704
0,ae_coreset,1000,8370,0.039,0.9675029868578255
0,ae_coreset,1000,8370,0.04,0.9675029868578255
0,ae_coreset,1000,8370,0.041,0.9675029868578255
0,ae_coreset,1000,8370,0.042,0.9675029868578255
0,ae_coreset,1000,8613,0.043000000000000003,0.9679554162312783
0,ae_coreset,1000,8613,0.044000000000000004,0.9679554162312783
0,ae_coreset,1000,8843,0.045,0.9676580346036413
0,ae_coreset,1000,8843,0.046,0.9676580346036413
0,ae_coreset,1000,9069,0.047,0.9679126695335759
0,ae_coreset,1000,9069,0.048,0.9679126695335759
0,ae_coreset,1000,9505,0.049,0.9680168332456601
0,ae_coreset,1000,9505,0.05,0.9680168332456601
0,ae_coreset,1000,9505,0.051000000000000004,0.9680168332456601
0,ae_coreset,1000,9505,0.052000000000000005,0.9680168332456601
0,ae_coreset,1000,9712,0.053000000000000005,0.9683896210873146
0,ae_coreset,1000,9712,0.054,0.9683896210873146
0,ae_coreset,1000,9918,0.055,0.9682395644283122
0,ae_coreset,1000,9918,0.056,0.9682395644283122
0,ae_coreset,1000,10120,0.057,0.9680830039525692
0,ae_coreset,1000,10120,0.058,0.9680830039525692
0,ae_coreset,1000,10313,0.059000000000000004,0.9679045864442936
0,ae_coreset,1000,10313,0.060000000000000005,0.9679045864442936
0,ae_coreset,1000,10505,0.061,0.9673488814850072
0,ae_coreset,1000,10505,0.062,0.9673488814850072
0,ae_coreset,1000,10695,0.063,0.9669939223936419
0,ae_coreset,1000,10695,0.064,0.9669939223936419
0,ae_coreset,1000,10884,0.065,0.9664645350973907
0,ae_coreset,1000,10884,0.066,0.9664645350973907
0,ae_coreset,1000,11065,0.067,0.966290103931315
0,ae_coreset,1000,11065,0.068,0.966290103931315
0,ae_coreset,1000,11244,0.069,0.9660263251511918
0,ae_coreset,1000,11244,0.07,0.9660263251511918
0,ae_coreset,1000,11422,0.07100000000000001,0.966205568201716
0,ae_coreset,1000,11772,0.07200000000000001,0.9667006455997281
0,ae_coreset,1000,11772,0.07300000000000001,0.9667006455997281
0,ae_coreset,1000,11772,0.074,0.9667006455997281
0,ae_coreset,1000,11772,0.075,0.9667006455997281
0,ae_coreset,1000,11945,0.076,0.9664294683968188
0,ae_coreset,1000,11945,0.077,0.9664294683968188
0,ae_coreset,1000,12115,0.078,0.9648369789517127
0,ae_coreset,1000,12115,0.079,0.9648369789517127
0,ae_coreset,1000,12283,0.08,0.9648294390621184
0,ae_coreset,1000,12283,0.081,0.9648294390621184
0,ae_coreset,1000,12448,0.082,0.9648939588688946
0,ae_coreset,1000,12448,0.083,0.9648939588688946
0,ae_coreset,1000,12612,0.084,0.9651125911830003
0,ae_coreset,1000,12612,0.085,0.9651125911830003
0,ae_coreset,1000,12774,0.08600000000000001,0.9654767496477219
0,ae_coreset,1000,12774,0.08700000000000001,0.9654767496477219
0,ae_coreset,1000,12931,0.08800000000000001,0.9651999071997526
0,ae_coreset,1000,12931,0.089,0.9651999071997526
0,ae_coreset,1000,13087,0.09,0.9653090853518759
0,ae_coreset,1000,13087,0.091,0.9653090853518759
0,ae_coreset,1000,13240,0.092,0.9651057401812689
0,ae_coreset,1000,13240,0.093,0.9651057401812689
0,ae_coreset,1000,13392,0.094,0.965352449223417
0,ae_coreset,1000,13392,0.095,0.965352449223417
0,ae_coreset,1000,13538,0.096,0.9650613089082583
0,ae_coreset,1000,13538,0.097,0.9650613089082583
0,ae_coreset,1000,13682,0.098,0.9648443210057009
0,ae_coreset,1000,13682,0.099,0.9648443210057009
0,ae_coreset,1000,13825,0.1,0.9649909584086799
0,ae_coreset,1000,13825,0.101,0.9649909584086799
0,ae_coreset,1000,13967,0.10200000000000001,0.9649173050762512
0,ae_coreset,1000,13967,0.10300000000000001,0.9649173050762512
0,ae_coreset,1000,14239,0.10400000000000001,0.9646744855678068
0,ae_coreset,1000,14239,0.10500000000000001,0.9646744855678068
0,ae_coreset,1000,14239,0.106,0.9646744855678068
0,ae_coreset,1000,14239,0.107,0.9646744855678068
0,ae_coreset,1000,14373,0.108,0.9641689278508314
0,ae_coreset,1000,14505,0.109,0.9642881764908652
0,ae_coreset,1000,14505,0.11,0.9642881764908652
0,ae_coreset,1000,14636,0.111,0.9643345176277671
0,ae_coreset,1000,14636,0.112,0.9643345176277671
0,ae_coreset,1000,14766,0.113,0.9645807937152919
0,ae_coreset,1000,14766,0.114,0.9645807937152919
0,ae_coreset,1000,14893,0.115,0.9646813939434634
0,ae_coreset,1000,14893,0.116,0.9646813939434634
0,ae_coreset,1000,15018,0.117,0.9649087761353043
0,ae_coreset,1000,15018,0.11800000000000001,0.9649087761353043
0,ae_coreset,1000,15260,0.11900000000000001,0.9651376146788991
0,ae_coreset,1000,15260,0.12000000000000001,0.9651376146788991
0,ae_coreset,1000,15260,0.121,0.9651376146788991
0,ae_coreset,1000,15260,0.122,0.9651376146788991
0,ae_coreset,1000,15380,0.123,0.9652795838751626
0,ae_coreset,1000,15380,0.124,0.9652795838751626
0,ae_coreset,1000,15499,0.125,0.9650945222272405
0,ae_coreset,1000,15499,0.126,0.9650945222272405
0,ae_coreset,1000,15615,0.127,0.9652257444764649
0,ae_coreset,1000,15615,0.128,0.9652257444764649
0,ae_coreset,1000,15843,0.129,0.9655368301458057
0,ae_coreset,1000,15843,0.13,0.9655368301458057
0,ae_coreset,1000,15843,0.131,0.9655368301458057
0,ae_coreset,1000,15843,0.132,0.9655368301458057
0,ae_coreset,1000,16067,0.133,0.9656438663098276
0,ae_coreset,1000,16067,0.134,0.9656438663098276
0,ae_coreset,1000,16067,0.135,0.9656438663098276
0,ae_coreset,1000,16067,0.136,0.9656438663098276
0,ae_coreset,1000,16178,0.137,0.9658177772283347
0,ae_coreset,1000,16178,0.138,0.9658177772283347
0,ae_coreset,1000,16502,0.139,0.9660647194279481
0,ae_coreset,1000,16502,0.14,0.9660647194279481
0,ae_coreset,1000,16502,0.14100000000000001,0.9660647194279481
0,ae_coreset,1000,16502,0.14200000000000002,0.9660647194279481
0,ae_coreset,1000,16502,0.14300000000000002,0.9660647194279481
0,ae_coreset,1000,16716,0.14400000000000002,0.9663795166307729
0,ae_coreset,1000,16716,0.14500000000000002,0.9663795166307729
0,ae_coreset,1000,16716,0.146,0.9663795166307729
0,ae_coreset,1000,16716,0.147,0.9663795166307729
0,ae_coreset,1000,16822,0.148,0.9665913684460825
0,ae_coreset,1000,16822,0.149,0.9665913684460825
0,ae_coreset,1000,16926,0.15,0.966560321399031
0,ae_coreset,1000,16926,0.151,0.966560321399031
0,ae_coreset,1000,17029,0.152,0.9667038581243761
0,ae_coreset,1000,17029,0.153,0.9667038581243761
0,ae_coreset,1000,17128,0.154,0.9667211583372256
0,ae_coreset,1000,17128,0.155,0.9667211583372256
0,ae_coreset,1000,17225,0.156,0.9666763425253991
0,ae_coreset,1000,17225,0.157,0.9666763425253991
0,ae_coreset,1000,17320,0.158,0.9665704387990762
0,ae_coreset,1000,17320,0.159,0.9665704387990762
0,ae_coreset,1000,17413,0.16,0.9666915522885201
0,ae_coreset,1000,17413,0.161,0.9666915522885201
0,ae_coreset,1000,17504,0.162,0.9668647166361974
0,ae_coreset,1000,17504,0.163,0.9668647166361974
0,ae_coreset,1000,17593,0.164,0.9669186608310123
0,ae_coreset,1000,17593,0.165,0.9669186608310123
0,ae_coreset,1000,17681,0.166,0.9669701939935524
0,ae_coreset,1000,17681,0.167,0.9669701939935524
0,ae_coreset,1000,17768,0.168,0.9671319225574065
