Episode Id,Sample Method,Labeled Pool,Num of classification,Ratio,Accuracy
1,CS1,50,395,0.01,1.0
1,CS1,50,395,0.02,1.0
1,CS1,50,395,0.03,1.0
1,CS1,50,395,0.04,1.0
1,CS1,50,395,0.05,1.0
1,CS1,50,395,0.060000000000000005,1.0
1,CS1,50,395,0.06999999999999999,1.0
1,CS1,50,395,0.08,1.0
1,CS1,50,395,0.09,1.0
1,CS1,50,395,0.09999999999999999,1.0
1,CS1,50,395,0.11,1.0
1,CS1,50,395,0.12,1.0
1,CS1,50,495,0.13,1.0
1,CS1,50,495,0.14,1.0
1,CS1,50,495,0.15000000000000002,1.0
1,CS1,50,495,0.16,1.0
1,CS1,50,495,0.17,1.0
1,CS1,50,495,0.18000000000000002,1.0
1,CS1,50,578,0.19,1.0
1,CS1,50,578,0.2,1.0
1,CS1,50,578,0.21000000000000002,1.0
1,CS1,50,578,0.22,1.0
1,CS1,50,578,0.23,1.0
1,CS1,50,578,0.24000000000000002,1.0
1,CS1,50,651,0.25,1.0
1,CS1,50,651,0.26,1.0
1,CS1,50,651,0.27,1.0
1,CS1,50,651,0.28,1.0
1,CS1,50,651,0.29000000000000004,1.0
1,CS1,50,651,0.3,1.0
1,CS1,50,651,0.31,1.0
1,CS1,50,673,0.32,1.0
1,CS1,50,673,0.33,1.0
1,CS1,50,673,0.34,1.0
1,CS1,50,673,0.35000000000000003,1.0
1,CS1,50,673,0.36000000000000004,1.0
1,CS1,50,673,0.37,1.0
1,CS1,50,675,0.38,1.0
1,CS1,50,675,0.39,1.0
1,CS1,50,675,0.4,1.0
1,CS1,50,675,0.41000000000000003,1.0
1,CS1,50,675,0.42000000000000004,1.0
1,CS1,50,675,0.43,1.0
1,CS1,50,695,0.44,1.0
1,CS1,50,695,0.45,1.0
1,CS1,50,695,0.46,1.0
1,CS1,50,695,0.47000000000000003,1.0
1,CS1,50,695,0.48000000000000004,1.0
1,CS1,50,695,0.49,1.0
1,CS1,50,695,0.5,1.0
1,CS1,50,695,0.51,1.0
1,CS1,50,695,0.52,1.0
1,CS1,50,695,0.53,1.0
1,CS1,50,695,0.54,1.0
1,CS1,50,695,0.55,1.0
1,CS1,50,695,0.56,1.0
1,CS1,50,697,0.5700000000000001,1.0
1,CS1,50,697,0.5800000000000001,1.0
1,CS1,50,697,0.59,1.0
1,CS1,50,697,0.6,1.0
1,CS1,50,697,0.61,1.0
1,CS1,50,697,0.62,1.0
1,CS1,50,715,0.63,1.0
1,CS1,50,715,0.64,1.0
1,CS1,50,715,0.65,1.0
1,CS1,50,715,0.66,1.0
1,CS1,50,715,0.67,1.0
1,CS1,50,715,0.68,1.0
1,CS1,50,731,0.6900000000000001,0.9986320109439124
1,CS1,50,731,0.7000000000000001,0.9986320109439124
1,CS1,50,731,0.7100000000000001,0.9986320109439124
1,CS1,50,731,0.72,0.9986320109439124
1,CS1,50,731,0.73,0.9986320109439124
1,CS1,50,731,0.74,0.9986320109439124
1,CS1,50,736,0.75,0.998641304347826
1,CS1,50,736,0.76,0.998641304347826
1,CS1,50,736,0.77,0.998641304347826
1,CS1,50,736,0.78,0.998641304347826
1,CS1,50,736,0.79,0.998641304347826
1,CS1,50,736,0.8,0.998641304347826
1,CS1,50,736,0.81,0.998641304347826
1,CS1,50,736,0.8200000000000001,0.998641304347826
1,CS1,50,736,0.8300000000000001,0.998641304347826
1,CS1,50,736,0.8400000000000001,0.998641304347826
1,CS1,50,736,0.85,0.998641304347826
1,CS1,50,736,0.86,0.998641304347826
1,CS1,50,736,0.87,0.998641304347826
1,CS1,50,738,0.88,0.9986449864498645
1,CS1,50,738,0.89,0.9986449864498645
1,CS1,50,738,0.9,0.9986449864498645
1,CS1,50,738,0.91,0.9986449864498645
1,CS1,50,738,0.92,0.9986449864498645
1,CS1,50,738,0.93,0.9986449864498645
1,CS1,50,738,0.9400000000000001,0.9986449864498645
1,CS1,50,738,0.9500000000000001,0.9986449864498645
1,CS1,50,738,0.9600000000000001,0.9986449864498645
1,CS1,50,738,0.97,0.9986449864498645
1,CS1,50,738,0.98,0.9986449864498645
1,CS1,50,738,0.99,0.9986449864498645
2,CS1,100,3452,0.99,0.9976825028968713
3,CS1,150,4952,0.99,0.9450726978998385
4,CS1,200,2781,0.99,0.9712333692916217
5,CS1,250,531,0.99,0.9887005649717514
6,CS1,300,1988,0.99,0.5835010060362174
7,CS1,350,938,0.99,0.9051172707889126
8,CS1,400,584,0.99,0.9674657534246576
9,CS1,450,4511,0.99,0.871425404566615
10,CS1,500,153,0.99,0.9477124183006536
11,CNN,500,41982,0,0.7902
11,CNN,18018,41982,0,0.4985
